"dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","atemp","hum","windspeed","cnt"
2011-01-01,"1","0","1","0","6","0","2",0.363625,0.805833,0.160446,985
2011-01-02,"1","0","1","0","0","0","2",0.353739,0.696087,0.248539,801
2011-01-03,"1","0","1","0","1","1","1",0.189405,0.437273,0.248309,1349
2011-01-04,"1","0","1","0","2","1","1",0.212122,0.590435,0.160296,1562
2011-01-05,"1","0","1","0","3","1","1",0.22927,0.436957,0.1869,1600
2011-01-06,"1","0","1","0","4","1","1",0.233209,0.518261,0.0895652,1606
2011-01-07,"1","0","1","0","5","1","2",0.208839,0.498696,0.168726,1510
2011-01-08,"1","0","1","0","6","0","2",0.162254,0.535833,0.266804,959
2011-01-09,"1","0","1","0","0","0","1",0.116175,0.434167,0.36195,822
2011-01-10,"1","0","1","0","1","1","1",0.150888,0.482917,0.223267,1321
2011-01-11,"1","0","1","0","2","1","2",0.191464,0.686364,0.122132,1263
2011-01-12,"1","0","1","0","3","1","1",0.160473,0.599545,0.304627,1162
2011-01-13,"1","0","1","0","4","1","1",0.150883,0.470417,0.301,1406
2011-01-14,"1","0","1","0","5","1","1",0.188413,0.537826,0.126548,1421
2011-01-15,"1","0","1","0","6","0","2",0.248112,0.49875,0.157963,1248
2011-01-16,"1","0","1","0","0","0","1",0.234217,0.48375,0.188433,1204
2011-01-17,"1","0","1","1","1","0","2",0.176771,0.5375,0.194017,1000
2011-01-18,"1","0","1","0","2","1","2",0.232333,0.861667,0.146775,683
2011-01-19,"1","0","1","0","3","1","2",0.298422,0.741739,0.208317,1650
2011-01-20,"1","0","1","0","4","1","2",0.25505,0.538333,0.195904,1927
2011-01-21,"1","0","1","0","5","1","1",0.157833,0.457083,0.353242,1543
2011-01-22,"1","0","1","0","6","0","1",0.0790696,0.4,0.17197,981
2011-01-23,"1","0","1","0","0","0","1",0.0988391,0.436522,0.2466,986
2011-01-24,"1","0","1","0","1","1","1",0.11793,0.491739,0.15833,1416
2011-01-25,"1","0","1","0","2","1","2",0.234526,0.616957,0.129796,1985
2011-01-26,"1","0","1","0","3","1","3",0.2036,0.8625,0.29385,506
2011-01-27,"1","0","1","0","4","1","1",0.2197,0.6875,0.113837,431
2011-01-28,"1","0","1","0","5","1","2",0.223317,0.793043,0.1233,1167
2011-01-29,"1","0","1","0","6","0","1",0.212126,0.651739,0.145365,1098
2011-01-30,"1","0","1","0","0","0","1",0.250322,0.722174,0.0739826,1096
2011-01-31,"1","0","1","0","1","1","2",0.18625,0.60375,0.187192,1501
2011-02-01,"1","0","2","0","2","1","2",0.23453,0.829565,0.053213,1360
2011-02-02,"1","0","2","0","3","1","2",0.254417,0.775417,0.264308,1526
